country,sight,priority,value_10,uniqueness_10,time_hours,detour_cost,recommended_length,route_logic
Botswana,Okavango Delta / mokoro + floodplain safari,S,10,10,8,low from Maun; high for fly-in lodge,2-3 days,The trip's most distinctive wildlife-water ecosystem; keep.
Botswana,Moremi Game Reserve,S,10,10,24,medium-high 4x4,2-3 days,Best land/water interface and elite game viewing; keep.
Namibia,Sossusvlei + Deadvlei + Big Daddy,S,10,10,8,medium,1.5-2 days,Iconic Namib landscape with almost no substitute; keep.
Zimbabwe,Victoria Falls rainforest viewpoints,S,10,10,5,low from Victoria Falls town,1 day,World-class waterfall; best end-point with Chobe.
South Africa,Table Mountain + Lion's Head,S,9.8,9.5,8,low,1-2 days,Exceptional city-nature combination; keep.
Botswana,Chobe Riverfront boat safari,S,9.7,9.5,4,low from Kasane,0.5-1 day,Elephants and river perspective complement land safaris.
Namibia,Etosha waterhole safari,S,9.6,9.2,24,medium,2-3 days,Excellent self-drive safari and rhino potential.
Namibia,Sandwich Harbour,S,9.5,10,5,low from Walvis; guided 4x4 required,0.5-1 day,Huge dunes meet Atlantic; highly unique.
South Africa,Cape Peninsula: Cape Point + Boulders + Chapman's Peak,S,9.5,9.2,10,low,1 day,High density coastal day trip.
Botswana,Khwai community area,A,9.3,8.8,24,medium-high 4x4,1-2 days,Strong predator/game viewing and complements Moremi.
Botswana,Savuti,A,9.2,9.0,24,high 4x4,1-2 days,"Remote, wild Chobe sector; excellent but time-costly."
Namibia,Twyfelfontein / Ui-//aes rock engravings,A,9.0,9.5,3,medium,0.5 day,UNESCO rock art with strong route fit through Damaraland.
Namibia,Damaraland desert-elephant / rhino tracking,A,9.0,9.4,6,medium,1 day,Desert-adapted wildlife is distinctive; guided tracking best.
South Africa,Tsitsikamma Storms River / Waterfall Trail,A,9.0,8.5,5,medium,1 day,Best Garden Route hiking/coastal forest experience.
Namibia,Spitzkoppe sunset + camp,A,8.8,9.0,6,low-medium,1 night,Excellent granite landscape and night sky.
Botswana,Nxai Pan + Baines' Baobabs,A,8.7,9.0,8,medium-high,1-2 days,Distinctive pans/baobabs; first cut when time is tight.
Botswana,Makgadikgadi salt pans,A,8.6,9.0,8,high unless routed via Nata,1-2 days,Huge scale but overlaps Nxai and adds road time.
South Africa,Stellenbosch / Franschhoek Winelands,A,8.5,8.2,8,low,1 day,Scenic and cultural contrast; easy from Cape Town.
Botswana,Tsodilo Hills,A,8.5,9.2,6,medium,0.5-1 day,UNESCO rock art; excellent if crossing Mohembo.
South Africa,Hermanus coast / seasonal whales,A,8.5,8.0,5,low on Garden Route variant,0.5-1 day,Very strong Jul-Nov; lower outside whale season.
Namibia,Swakopmund adventure base,B,8.0,7.2,8,low,1 day,Useful reset/activity base; town itself less important than surroundings.
Namibia,Walvis Bay lagoon / kayak,B,8.0,7.8,4,low,0.5 day,Good marine contrast; Sandwich Harbour is the stronger must-do.
Namibia,Mahango / Bwabwata river safari,A,8.8,8.7,6,low on transit,1 day,Efficient bridge between Etosha and Botswana; lush contrast to desert.
South Africa,Kirstenbosch Botanical Garden,A,8.6,8.4,4,low,0.5 day,"Top botanical garden, pairs well with Table Mountain."
South Africa,Robben Island,A,8.3,9.0,5,low,0.5 day,Major historical value; weather/ferry dependent.
South Africa,Bo-Kaap + City Bowl,B,7.8,7.5,3,low,0.5 day,"Good urban/cultural context, easy to pair with other Cape Town sights."
South Africa,Knysna / Wilderness lagoons,B,7.8,7.2,6,medium,1 day,"Pleasant, but Tsitsikamma has higher value per day."
Zimbabwe,Victoria Falls helicopter / scenic flight,A,8.8,9.0,1,low,15-30 min,Expensive but useful at very high water when spray blocks ground views.
Zambia,Devil's Pool / Livingstone Island (seasonal),A,9.0,9.5,4,medium border/time,0.5 day,Extremely unique; only when officially open and water-safe.
Zimbabwe/Zambia,Victoria Falls Bridge + Zambia-side viewpoints,A,8.7,8.8,4,low-medium border,0.5 day,Worth doing if border/visa logistics are simple.
