sight,base,country,priority,value_10,uniqueness_10,time_hours,detour,tags
Pieni Karhunkierros,Oulanka National Park,Finland,S,10,9,6-8,low,rapids; suspension bridges; taiga
Riisitunturi fell loop,Riisitunturi National Park,Finland,S,9,10,4-6,low,fell; blanket bog; sunset
Isokuru / Pyha hike,Pyha-Luosto National Park,Finland,A,9,8,5-8,low,gorge; fell; waterfall
Kiilopaa / UKK hike,Saariselka,Finland,S,10,10,6-10,low,arctic fell wilderness
SIIDA + Lake Inari,Inari,Finland,S,9,10,6-10,low,Sami culture; lake
Tallinn Old Town,Tallinn,Estonia,S,9,9,6-10,low,medieval city
Viru Bog + Lahemaa coast,Lahemaa National Park,Estonia,S,9,9,8-14,low,bog; forest; coast
Riga Old Town + Art Nouveau,Riga,Latvia,A,9,8,8-12,low,architecture; city
Gauja valley + Turaida,Gauja National Park,Latvia,S,9,9,8-14,low,sandstone; forest; castle
Kuldiga + Venta Rapid,Kuldiga,Latvia,A,8,8,5-8,medium,historic town; waterfall
Curonian Spit dunes,Nida,Lithuania,S,10,10,8-14,medium,dunes; pine forest; Baltic coast
Trakai Castle,Trakai,Lithuania,A,8,8,3-5,low,lake castle
Vilnius Old Town,Vilnius,Lithuania,A,9,8,8-12,low,baroque; old town
Warsaw centre,Warsaw,Poland,A,8,8,6-10,low,history; reconstruction
Krakow Old Town + Wawel,Krakow,Poland,S,10,9,10-16,low,historic city; castle
